Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación
2016-05-01,0.0,1714.3,495459.41,0.0,97343.58,0.0,0.0,416912.47142857144,0.0,528347.81,615900.31,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,1035544.08,0,0.0,0,3210221.9614285715
2016-06-01,0.0,2142.9,400963.62000000005,0.0,81862.33,0.0,0.0,703319.2333333334,0.0,397477.4,502082.45,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,800222.53,0,0.0,0,2904070.463333334
2016-07-01,0.0,0.0,127905.46,0.0,108804.2,0.0,0.0,455823.14285714284,0.0,526652.73,618366.1,0.0,22000.0,0.0,0.0,181500.0,0.0,0.0,0.0,859222.6199999999,0,0.0,0,2900274.252857143
2016-08-01,0.0,428.6,246976.30000000002,0.0,147462.11,0.0,0.0,588310.5428571429,285.0,512202.57,625218.9,0.0,20000.0,0.0,0.0,181492.84999999998,0.0,0.0,0.0,701185.75,0,0.0,0,3023562.622857143
2016-09-01,0.0,1571.4,188931.31999999998,0.0,94858.75,0.0,0.0,306543.4095238095,0.0,567786.57,677892.97,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,1274128.31,0,0.0,0,3128712.7295238096
2016-10-01,0.0,1428.6,62511.8,0.0,81839.62,0.0,0.0,717388.5666666667,0.0,455850.75999999995,546154.65,0.0,26173.0,0.0,0.0,0.0,0.0,0.0,0.0,927923.5,0,0.0,0,2819270.4966666666
2016-11-01,0.0,4142.9,304552.31,0.0,95032.9,0.0,0.0,505975.97619047615,6444.2,476784.16000000003,725548.16,0.0,13197.0,0.0,0.0,165005.5,0.0,0.0,0.0,957656.05,0,0.0,0,3254339.1561904764
2016-12-01,0.0,3857.0,306550.76930000004,0.0,158719.36,0.0,0.0,584807.1904761905,0.0,473659.59,526573.96,0.0,31039.2,0.0,0.0,160560.675,0.0,0.0,0.0,1303735.7799999998,0,0.0,0,3549503.5247761905
2017-01-01,0.0,3190.0,213661.49999999997,0.0,33917.24,0.0,0.0,567345.8209523809,0.0,527564.9,748233.5800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29,842993.49,0,0.0,0,2936978.820952381
2017-02-01,0.0,714.3,72649.78,0.0,152952.2,0.0,0.0,279527.2252380952,21844.81,469140.06,497707.41000000003,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,844676.98,0,0.0,0,2340252.765238095
2017-03-01,0.0,3142.9,376955.72,0.0,75312.22,0.0,0.0,780048.5861476191,3505.27,608144.98,734984.24,0.0,0.0,0.0,0.0,388055.94,0.0,0.0,72.29,1351787.92,0,0.0,0,4322010.066147619
2017-04-01,0.0,1285.71,106518.75,0.0,154934.13,0.0,0.0,530578.142857143,508.27,681303.1099999999,632843.4099999999,0.0,0.0,0.0,0.0,404822.975,0.0,0.0,72.29,1406022.4300000002,0,0.0,0,3918889.217857143
2017-05-01,0.0,1285.71,160374.5,0.0,105375.23,0.0,0.0,604702.550952381,3193.64,386088.18,442311.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29,889926.86,0,0.0,0,2593330.050952381
2017-06-01,0.0,1428.57,191218.23,0.0,48933.84,0.0,0.0,487244.1904761905,367.94,519389.66000000003,582374.34,0.0,0.0,0.0,0.0,182141.84999999998,0.0,0.0,72.29,902659.0,0,0.0,0,2915829.9104761905
2017-07-01,0.0,1857.14,85356.63,0.0,54997.20999999999,0.0,0.0,510428.1433333333,0.0,433026.08,769214.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994338.3,0,0.0,0,2849217.5633333335
2017-08-01,0.0,3269.86,44448.27,0.0,76542.18,0.0,0.0,538582.1419047619,666.23,592103.31,607368.72,0.0,0.0,0.0,0.0,583079.685,0.0,0.0,144.57,846696.3500000001,0,0.0,0,3292901.3169047623
2017-09-01,0.0,3857.14,218358.99,0.0,125724.44,0.0,0.0,350294.5714285714,0.0,316435.22,401678.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29,925397.8699999999,0,0.0,0,2341819.5014285715
